label,quadrant,description,ring,active,moved,link
S3 + Cloudfront,0,Cloud storage + distribution,0,0,0,
AWS SNS,0,Messaging Service,0,0,0,
AWS SQS,0,Message Queues,0,0,0,
Cassandra,0,NoSQL DB,0,0,0,
ElasticSearch,0,NoSql Search DB,0,0,0,
Kafka,0,Event Processing by Apache,0,0,0,
PostgreSQL,0,RDBMS,0,0,0,
Redis,0,NoSQL DB and Cache,0,0,0,/redis
Solr,0,NoSQL Search DB,0,0,0,
Spark,0,event processing,0,0,0,
DynamoDB,0,NoSQL DB by AWS,1,0,0,
Google BigQuery,0,NoSQL DB by Google,1,0,0,
Kinesis,0,Event Processing by AWS,2,0,0,
BigTable,0,NoSQL DB by Google,2,0,0,
Hadoop,0,data processing,2,0,0,
ZeroMQ,0,Message Queue,3,0,0,
Esper CEP,0,Complex Event Processor,3,0,-1,
HBase,0,NoSQL DB,3,0,0,
MongoDB,0,NoSQL DB,2,0,0,
MySQL,0,RDBMS,3,0,-1,
RabbitMQ,0,message queues,3,0,0,
Scikit-learn,0,Machine learning API,0,0,0,
Keras,0,Machine learning API,0,0,1,
PyTorch,0,Machine learning API,0,0,0,
MxNet,0,Machine learning API,0,1,1,
Docker,1,Container technology,0,0,0,
etcd,1,Distributed key/value store,0,0,0,
HAProxy,1,Load balancer,0,0,0,
Glassfish,1,Webserver by Oracle,3,0,0,
Nginx,1,webserver / loadbalancer,0,0,0,
supervisord,1,Process manager,0,0,0,
Tomcat,1,Webserver by Apache,3,0,0,
Kubernetes,1,cluster resource manager,0,0,0,
Zookeeper,1,distributed computing,1,0,0,
AWS Lambda,1,computing service,2,0,0,
JBoss,1,Application server,3,0,0,
Mesos,1,Resource manager,2,0,1,
Puppet,1,Configuration Management,3,0,0,
Ansible,1,Configuration Management,0,0,0,
Chef,1,Configuration Management,1,0,0,
saltstack,1,Infrastructure Management,3,0,0,
Flux,1,React modelling paradigm,2,0,0,
CloudFormation,1,Infrastructure Management by AWS,1,0,1,
Swagger,2,API Standard,0,0,0,
JUnit,2,Test Standard,0,0,0,
gRPC,2,RPC framework,2,0,0,
Http4s,2,Scala HTTP framework,3,0,1,
Node.js,3,server-side JS,0,0,0,
Play for Scala,3,Web framework,0,0,0,
ReactJS,3,JS framework for SPA,0,0,0,
ReactiveX,3,async API,0,0,0,
Spring,3,Java Framework,0,0,0,
Angular 2+,3,JS framework,1,0,0,
Ember.js,3,JS framework,3,0,0,
Angular 1.x,3,JS framework,3,0,0,
Backbone,3,JS framework,3,0,0,
Go,3,scripting language,2,0,1,
Java,3,programming language,0,0,0,
Javascript,3,programming language,0,0,0,
Python,3,Scripting and interface language,0,0,0,
Scala,3,General purpose language,1,0,0,
Swift,3,iOS language,2,0,0,
Typescript,3,impl. language,0,0,0,
Rust,3,impl. language,1,0,1,
C#,3,.NET based language,3,0,-1,
C/C++,3,High level language,3,0,0,
Coffeescript,3,impl. language,3,0,0,
Ruby,3,Server side language,3,0,0,
PHP,3,Server side language,2,0,0,
Kotlin,3,Server side language,2,1,1,/kotlin
Bash,3,Scripting language,0,1,0,
Django,3,Python Web framework,1,1,0,
Laravel,3,Web framework,1,1,-1,
Devops,2,Paradigm,0,1,0,
Cascade,2,,3,1,-1,
Scrum,2,Agile tool,3,1,-1,
Test-Driven,2,Development paradigm,1,0,-1,
CI,2,Continuous Integration,0,0,0,
Apollo,3,React and GraphQL Model Framework,1,0,1,
GraphQL,3,Data Query Language by Facebook,1,0,1,
Terraform,1,Infrastructure management,2,0,1,
CD4ML,2,CI for ML,2,0,1,
Apache Airflow,1,"Workflow management platform
",2,0,1,
Svelte,3,Javascript framework,1,0,1,
